gene_name	gene_symbol	chrom	strand
AK162078;Zfhx3	Zfhx3	chr8	1
AK162138	AK162138	chr3	1
AK162339;Pafah1b1	AK162339	chr11	-1
AK162339;Pafah1b1	Pafah1b1	chr11	-1
AK162351	AK162351	chr7	-1
AK162361;Ptpn22	AK162361	chr3	1
AK162361;Ptpn22	Ptpn22	chr3	1
AK162363	AK162363	chr17	1
AK162386	AK162386	chr9	-1
AK162388	AK162388	chr2	-1
AK162438	AK162438	chr15	-1
AK162488;Gch1	AK162488	chr14	-1
AK162488;Gch1	Gch1	chr14	-1
AK162540;Ankrd13a	AK162540	chr5	1
AK162540;Ankrd13a	Ankrd13a	chr5	1
AK162546;Smurf2	AK162546	chr11	-1
AK162546;Smurf2	Smurf2	chr11	-1
AK162602;Ube2e2	AK162602	chr14	-1
AK162602;Ube2e2	Ube2e2	chr14	-1
AK162681;BC057145;Erbb2ip	AK162681	chr13	-1
AK162681;BC057145;Erbb2ip	BC057145	chr13	-1
AK162681;BC057145;Erbb2ip	Erbb2ip	chr13	-1
AK162765;Snx14	AK162765	chr9	-1
AK162765;Snx14	Snx14	chr9	-1
AK162774	AK162774	chr11	1
AK162777;Aqp11	AK162777	chr7	-1
AK162777;Aqp11	Aqp11	chr7	-1
AK162785;Nf1	AK162785	chr11	1
AK162785;Nf1	Nf1	chr11	1
AK162790;AK169475;Rnpep	AK162790	chr1	-1
AK162790;AK169475;Rnpep	AK169475	chr1	-1
AK162790;AK169475;Rnpep	Rnpep	chr1	-1
AK162806;Smchd1	AK162806	chr17	-1
AK162806;Smchd1	Smchd1	chr17	-1
AK162833	AK162833	chr6	1
AK162857;Kdm3b	AK162857	chr18	1
AK162857;Kdm3b	Kdm3b	chr18	1
AK162911;BC048403	AK162911	chr10	1
AK162911;BC048403	BC048403	chr10	1
AK162942;Tmbim4	AK162942	chr10	1
AK162942;Tmbim4	Tmbim4	chr10	1
AK163002;Trat1	AK163002	chr16	-1
AK163002;Trat1	Trat1	chr16	-1
AK163009	AK163009	chr6	1
AK163075;Psme4	AK163075	chr11	1
AK163075;Psme4	Psme4	chr11	1
AK163089;Cpeb3	AK163089	chr19	-1
AK163089;Cpeb3	Cpeb3	chr19	-1
AK163099	AK163099	chr7	1
AK163103	AK163103	chr10	1
AK163121	AK163121	chr7	-1
AK163127;Dzip3	AK163127	chr16	-1
AK163127;Dzip3	Dzip3	chr16	-1
AK163129;Picalm	AK163129	chr7	1
AK163129;Picalm	Picalm	chr7	1
AK163148	AK163148	chr14	-1
AK163151	AK163151	chr2	1
AK163158;Renbp	AK163158	chrX	-1
AK163158;Renbp	Renbp	chrX	-1
AK163160	AK163160	chr18	1
AK163166;Ercc5	AK163166	chr1	1
AK163166;Ercc5	Ercc5	chr1	1
AK163292	AK163292	chr16	1
AK163333	AK163333	chr1	1
AK163399;Coq10b	AK163399	chr1	1
AK163399;Coq10b	Coq10b	chr1	1
AK163439	AK163439	chr13	1
AK163440	AK163440	chrM	1
AK163478;Palm	AK163478	chr10	1
AK163478;Palm	Palm	chr10	1
AK163592;Dnaja2	AK163592	chr8	-1
AK163592;Dnaja2	Dnaja2	chr8	-1
AK163598;Baz1b	AK163598	chr5	1
AK163598;Baz1b	Baz1b	chr5	1
AK163662	AK163662	chr2	-1
AK163667;BC048594	AK163667	chr2	1
AK163667;BC048594	BC048594	chr2	1
AK163755;Klhl12	AK163755	chr1	1
AK163755;Klhl12	Klhl12	chr1	1
AK163758;Dnaja1;Mir207	AK163758	chr4	1
AK163758;Dnaja1;Mir207	Dnaja1	chr4	1
AK163758;Dnaja1;Mir207	Mir207	chr4	1
AK163775;Smarcc2	AK163775	chr10	1
AK163775;Smarcc2	Smarcc2	chr10	1
AK163836;Zcchc11	AK163836	chr4	1
AK163836;Zcchc11	Zcchc11	chr4	1
AK163846;Naa15	AK163846	chr3	1
AK163846;Naa15	Naa15	chr3	1
AK163865	AK163865	chr1	1
AK163891;Msi2	AK163891	chr11	-1
AK163891;Msi2	Msi2	chr11	-1
AK163898;BC025019;Hook1	AK163898	chr4	1
AK163898;BC025019;Hook1	BC025019	chr4	1
AK163898;BC025019;Hook1	Hook1	chr4	1
AK163900;Fam193b	AK163900	chr13	-1
AK163900;Fam193b	Fam193b	chr13	-1
AK164016;Zfp106	AK164016	chr2	-1
AK164016;Zfp106	Zfp106	chr2	-1
AK164019;Dlg1	AK164019	chr16	1
AK164019;Dlg1	Dlg1	chr16	1
AK164085;Pgm2l1	AK164085	chr7	1
AK164085;Pgm2l1	Pgm2l1	chr7	1
AK164121;Zfp207	AK164121	chr11	1
AK164121;Zfp207	Zfp207	chr11	1
AK164124;Atp5j2	AK164124	chr5	-1
AK164124;Atp5j2	Atp5j2	chr5	-1
AK164146;Ppa2	AK164146	chr3	1
AK164146;Ppa2	Ppa2	chr3	1
AK164218	AK164218	chr13	1
AK164313;Numb	AK164313	chr12	-1
AK164313;Numb	Numb	chr12	-1
AK164315	AK164315	chr10	1
AK164331	AK164331	chr17	1
AK164353	AK164353	chr18	-1
AK164362;Rbpj	AK164362	chr5	1
AK164362;Rbpj	Rbpj	chr5	1
AK164404;Nvl	AK164404	chr1	-1
AK164404;Nvl	Nvl	chr1	-1
AK164412	AK164412	chr15	-1
AK164460;Frk	AK164460	chr10	1
AK164460;Frk	Frk	chr10	1
AK164564;Pdlim3	AK164564	chr8	1
AK164564;Pdlim3	Pdlim3	chr8	1
AK164610;Rcor3	AK164610	chr1	-1
AK164610;Rcor3	Rcor3	chr1	-1
AK164622;Tmem209	AK164622	chr6	-1
AK164622;Tmem209	Tmem209	chr6	-1
AK164636;Fkrp	AK164636	chr7	-1
AK164636;Fkrp	Fkrp	chr7	-1
AK164737;Ell2	AK164737	chr13	1
AK164737;Ell2	Ell2	chr13	1
AK164749;Gm12359	AK164749	chr11	-1
AK164749;Gm12359	Gm12359	chr11	-1
AK164817;Stam	AK164817	chr2	1
AK164817;Stam	Stam	chr2	1
AK164844;Edil3	AK164844	chr13	1
AK164844;Edil3	Edil3	chr13	1
AK164905;Carf	AK164905	chr1	1
AK164905;Carf	Carf	chr1	1
AK164986;Tmem2	AK164986	chr19	1
AK164986;Tmem2	Tmem2	chr19	1
AK164996;Trpm3	AK164996	chr19	1
AK164996;Trpm3	Trpm3	chr19	1
AK165013;Atad2	AK165013	chr15	-1
AK165013;Atad2	Atad2	chr15	-1
AK165059;Smarca2	AK165059	chr19	1
AK165059;Smarca2	Smarca2	chr19	1
AK165076;Mbtd1	AK165076	chr11	1
AK165076;Mbtd1	Mbtd1	chr11	1
AK165181;Hs2st1	AK165181	chr3	-1
AK165181;Hs2st1	Hs2st1	chr3	-1
AK165223;Rbm43	AK165223	chr2	-1
AK165223;Rbm43	Rbm43	chr2	-1
AK165270;Rbm25	AK165270	chr12	1
AK165270;Rbm25	Rbm25	chr12	1
AK165297	AK165297	chr10	-1
AK165336;Eif2b3	AK165336	chr4	1
AK165336;Eif2b3	Eif2b3	chr4	1
AK165361;Ndufb5	AK165361	chr3	1
AK165361;Ndufb5	Ndufb5	chr3	1
AK165366	AK165366	chr16	1
AK165388;Kif18b	AK165388	chr11	-1
AK165388;Kif18b	Kif18b	chr11	-1
AK165407;Sirt3	AK165407	chr7	-1
AK165407;Sirt3	Sirt3	chr7	-1
AK165451;Casp6	AK165451	chr3	1
AK165451;Casp6	Casp6	chr3	1
AK165476;Nqo2	AK165476	chr13	1
AK165476;Nqo2	Nqo2	chr13	1
AK165489	AK165489	chr19	-1
AK165532;Mob4	AK165532	chr1	1
AK165532;Mob4	Mob4	chr1	1
AK165607	AK165607	chr2	-1
AK165756;Ppfia3	AK165756	chr7	-1
AK165756;Ppfia3	Ppfia3	chr7	-1
AK165776	AK165776	chr10	1
AK165787;Stk25	AK165787	chr1	-1
AK165787;Stk25	Stk25	chr1	-1
AK165804;AK169506	AK165804	chr10	1
AK165804;AK169506	AK169506	chr10	1
AK166041	AK166041	chr8	-1
AK166079	AK166079	chr2	-1
AK166773	AK166773	chr2	-1
AK166824	AK166824	chr8	-1
AK166863;Rab14	AK166863	chr2	-1
AK166863;Rab14	Rab14	chr2	-1
AK166895	AK166895	chr15	1
AK167063	AK167063	chr2	-1
AK167137;Zc3hav1	AK167137	chr6	-1
AK167137;Zc3hav1	Zc3hav1	chr6	-1
AK167360;Hinfp	AK167360	chr9	-1
AK167360;Hinfp	Hinfp	chr9	-1
AK168184	AK168184	chr8	1
AK168746	AK168746	chr9	-1
AK168778	AK168778	chr6	1
AK168779;AK185556;Ntmt1	AK168779	chr2	1
AK168779;AK185556;Ntmt1	AK185556	chr2	1
AK168779;AK185556;Ntmt1	Ntmt1	chr2	1
AK168848;Cab39	AK168848	chr1	1
AK168848;Cab39	Cab39	chr1	1
AK168915	AK168915	chr6	1
AK169115;Dnajc22	AK169115	chr15	1
AK169115;Dnajc22	Dnajc22	chr15	1
AK169493;Wdr7	AK169493	chr18	1
AK169493;Wdr7	Wdr7	chr18	1
AK169497;Zfp644	AK169497	chr5	-1
AK169497;Zfp644	Zfp644	chr5	-1
AK169509	AK169509	chr17	-1
AK169549;Nmt1	AK169549	chr11	1
AK169549;Nmt1	Nmt1	chr11	1
AK169555;Heatr5a	AK169555	chr12	-1
AK169555;Heatr5a	Heatr5a	chr12	-1
AK169777;Plcg1	AK169777	chr2	1
AK169777;Plcg1	Plcg1	chr2	1
AK169790;Hmbox1	AK169790	chr14	-1
AK169790;Hmbox1	Hmbox1	chr14	-1
AK169802;Ikzf3	AK169802	chr11	-1
AK169802;Ikzf3	Ikzf3	chr11	-1
AK169831	AK169831	chr9	-1
AK169958;St3gal1	AK169958	chr15	-1
AK169958;St3gal1	St3gal1	chr15	-1
AK169984;Oma1	AK169984	chr4	1
AK169984;Oma1	Oma1	chr4	1
AK170033;Rhoa	AK170033	chr9	1
AK170033;Rhoa	Rhoa	chr9	1
AK170353	AK170353	chr7	-1
AK170409	AK170409	chrX	-1
AK170464;Tnfrsf1b	AK170464	chr4	-1
AK170464;Tnfrsf1b	Tnfrsf1b	chr4	-1
AK170551;Arhgap18	AK170551	chr10	1
AK170551;Arhgap18	Arhgap18	chr10	1
AK170605;Trit1	AK170605	chr4	1
AK170605;Trit1	Trit1	chr4	1
AK170612;Anxa1	AK170612	chr19	-1
AK170612;Anxa1	Anxa1	chr19	-1
AK170703;Rassf5	AK170703	chr1	-1
AK170703;Rassf5	Rassf5	chr1	-1
AK170771;Wdr53	AK170771	chr16	1
AK170771;Wdr53	Wdr53	chr16	1
AK170837;Armcx5;Gprasp1;Mir7646	AK170837	chrX	1
AK170837;Armcx5;Gprasp1;Mir7646	Armcx5	chrX	1
AK170837;Armcx5;Gprasp1;Mir7646	Gprasp1	chrX	1
AK170837;Armcx5;Gprasp1;Mir7646	Mir7646	chrX	1
AK171116;Laptm5	AK171116	chr4	1
AK171116;Laptm5	Laptm5	chr4	1
AK171117;Coa4	AK171117	chr7	1
AK171117;Coa4	Coa4	chr7	1
AK171153	AK171153	chr17	-1
AK171159	AK171159	chr19	1
AK171187;Cdk8	AK171187	chr5	1
AK171187;Cdk8	Cdk8	chr5	1
AK171330	AK171330	chr2	1
AK171391;Ccr5	AK171391	chr9	1
AK171391;Ccr5	Ccr5	chr9	1
AK171586;Spint2	AK171586	chr7	-1
AK171586;Spint2	Spint2	chr7	-1
AK171655;Fam210a;Mir7219	AK171655	chr18	-1
AK171655;Fam210a;Mir7219	Fam210a	chr18	-1
AK171655;Fam210a;Mir7219	Mir7219	chr18	-1
AK171687;Bcl10	AK171687	chr3	1
AK171687;Bcl10	Bcl10	chr3	1
AK171712;Kdm6a	AK171712	chrX	1
AK171712;Kdm6a	Kdm6a	chrX	1
AK171764	AK171764	chr9	1
AK171786;Me2	AK171786	chr18	-1
AK171786;Me2	Me2	chr18	-1
AK171827;Stat3	AK171827	chr11	-1
AK171827;Stat3	Stat3	chr11	-1
AK171899;Snx10	AK171899	chr6	1
AK171899;Snx10	Snx10	chr6	1
AK171952;Tpgs2	AK171952	chr18	-1
AK171952;Tpgs2	Tpgs2	chr18	-1
AK171953	AK171953	chr1	-1
AK171956;Gpi1	AK171956	chr7	-1
AK171956;Gpi1	Gpi1	chr7	-1
AK171960	AK171960	chr11	1
AK171966;Snx1	AK171966	chr9	-1
AK171966;Snx1	Snx1	chr9	-1
AK172064;Xkrx	AK172064	chrX	-1
AK172064;Xkrx	Xkrx	chrX	-1
AK172081;Malt1	AK172081	chr18	1
AK172081;Malt1	Malt1	chr18	1
AK172129;Slc26a7	AK172129	chr4	-1
AK172129;Slc26a7	Slc26a7	chr4	-1
AK172190;Rnf38	AK172190	chr4	-1
AK172190;Rnf38	Rnf38	chr4	-1
AK172204	AK172204	chr13	1
AK172259;Susd6	AK172259	chr12	1
AK172259;Susd6	Susd6	chr12	1
AK172359	AK172359	chr9	-1
AK172386	AK172386	chr13	-1
AK172440;Taf6	AK172440	chr5	-1
AK172440;Taf6	Taf6	chr5	-1
AK172459	AK172459	chr18	-1
AK172478;Peak1	AK172478	chr9	-1
AK172478;Peak1	Peak1	chr9	-1
AK172490;Rel	AK172490	chr11	-1
AK172490;Rel	Rel	chr11	-1
AK172592;Tbc1d5	AK172592	chr17	-1
AK172592;Tbc1d5	Tbc1d5	chr17	-1
AK172601	AK172601	chr8	1
AK172630	AK172630	chr7	-1
AK172662;Mkln1	AK172662	chr6	1
AK172662;Mkln1	Mkln1	chr6	1
AK172672	AK172672	chr13	1
AK172704;Fam133b	AK172704	chr5	1
AK172704;Fam133b	Fam133b	chr5	1
AK172714;Plekho2	AK172714	chr9	-1
AK172714;Plekho2	Plekho2	chr9	-1
AK172721	AK172721	chr11	1
AK177718;Hcn3	AK177718	chr3	-1
AK177718;Hcn3	Hcn3	chr3	-1
AK177772;Herc3	AK177772	chr6	1
AK177772;Herc3	Herc3	chr6	1
AK177800;AK216694;Tcf25	AK177800	chr8	1
AK177800;AK216694;Tcf25	AK216694	chr8	1
AK177800;AK216694;Tcf25	Tcf25	chr8	1
AK178082;Tmem181c-ps	AK178082	chr17	-1
AK178082;Tmem181c-ps	Tmem181c-ps	chr17	-1
AK178359	AK178359	chr15	1
AK178429	AK178429	chr17	1
AK178890;Atp1b3	AK178890	chr9	-1
AK178890;Atp1b3	Atp1b3	chr9	-1
AK179007	AK179007	chr15	-1
AK179044;Carhsp1	AK179044	chr16	-1
AK179044;Carhsp1	Carhsp1	chr16	-1
AK179066;Nr1d1	AK179066	chr11	-1
AK179066;Nr1d1	Nr1d1	chr11	-1
AK179207;Tmem164	AK179207	chrX	1
AK179207;Tmem164	Tmem164	chrX	1
AK179349;AK189633;AK198904;Mtch1	AK179349	chr17	-1
AK179349;AK189633;AK198904;Mtch1	AK189633	chr17	-1
AK179349;AK189633;AK198904;Mtch1	AK198904	chr17	-1
AK179349;AK189633;AK198904;Mtch1	Mtch1	chr17	-1
AK179786	AK179786	chr12	-1
AK179850;Hps4	AK179850	chr5	1
AK179850;Hps4	Hps4	chr5	1
AK180019	AK180019	chr3	1
AK180077;Mir7019;Pink1	AK180077	chr4	-1
AK180077;Mir7019;Pink1	Mir7019	chr4	-1
AK180077;Mir7019;Pink1	Pink1	chr4	-1
AK180240;Dync1li1	AK180240	chr9	1
AK180240;Dync1li1	Dync1li1	chr9	1
AK180712	AK180712	chr16	1
AK180745;Tmem189	AK180745	chr2	-1
AK180745;Tmem189	Tmem189	chr2	-1
AK180852;Fam63a	AK180852	chr3	1
AK180852;Fam63a	Fam63a	chr3	1
AK180939	AK180939	chr9	1
AK180973;AK196832;AK207863;Trpm1	AK180973	chr7	1
AK180973;AK196832;AK207863;Trpm1	AK196832	chr7	1
AK180973;AK196832;AK207863;Trpm1	AK207863	chr7	1
AK180973;AK196832;AK207863;Trpm1	Trpm1	chr7	1
AK181631;AK218564	AK181631	chr1	-1
AK181631;AK218564	AK218564	chr1	-1
AK181663;Kif3c	AK181663	chr12	1
AK181663;Kif3c	Kif3c	chr12	1
AK181755;Tprgl	AK181755	chr4	-1
AK181755;Tprgl	Tprgl	chr4	-1
AK181773;Cyc1	AK181773	chr15	1
AK181773;Cyc1	Cyc1	chr15	1
AK181808	AK181808	chr19	1
AK181830	AK181830	chr19	1
AK181896;Zdhhc4	AK181896	chr5	-1
AK181896;Zdhhc4	Zdhhc4	chr5	-1
AK181950;Shisa4	AK181950	chr1	-1
AK181950;Shisa4	Shisa4	chr1	-1
AK182522;Med22	AK182522	chr2	-1
AK182522;Med22	Med22	chr2	-1
AK182655;Ppp1ca	AK182655	chr19	1
AK182655;Ppp1ca	Ppp1ca	chr19	1
AK182695	AK182695	chr15	1
AK182874	AK182874	chr11	-1
AK182887	AK182887	chr15	1
AK183756;Paip2b	AK183756	chr6	-1
AK183756;Paip2b	Paip2b	chr6	-1
AK183986	AK183986	chrX	1
AK184064;Heatr1	AK184064	chr13	1
AK184064;Heatr1	Heatr1	chr13	1
AK184121	AK184121	chr9	1
AK184225;Coro1b	AK184225	chr19	1
AK184225;Coro1b	Coro1b	chr19	1
AK184299;Mrps2	AK184299	chr2	1
AK184299;Mrps2	Mrps2	chr2	1
AK184603	AK184603	chr7	1
AK184713	AK184713	chr2	1
AK184869;Josd1	AK184869	chr15	-1
AK184869;Josd1	Josd1	chr15	-1
AK184946;Rnf11	AK184946	chr4	-1
AK184946;Rnf11	Rnf11	chr4	-1
AK185415;Snx17	AK185415	chr5	1
AK185415;Snx17	Snx17	chr5	1
AK185715;Zfp513	AK185715	chr5	-1
AK185715;Zfp513	Zfp513	chr5	-1
AK186242	AK186242	chr2	1
AK186390;Sppl2b	AK186390	chr10	1
AK186390;Sppl2b	Sppl2b	chr10	1
AK186650	AK186650	chr4	-1
AK186650	AK186650	chr5	-1
AK186650	AK186650	chr6	-1
AK186650	AK186650	chr8	-1
AK186650	AK186650	chrX	-1
AK186759;Dlst	AK186759	chr12	1
AK186759;Dlst	Dlst	chr12	1
AK186966;Mir6956;Triobp	AK186966	chr15	1
AK186966;Mir6956;Triobp	Mir6956	chr15	1
AK186966;Mir6956;Triobp	Triobp	chr15	1
AK187054	AK187054	chr5	-1
AK187594;Ccnd2	AK187594	chr6	-1
AK187594;Ccnd2	Ccnd2	chr6	-1
AK187783	AK187783	chrY	-1
AK187989;Pias1	AK187989	chr9	-1
AK187989;Pias1	Pias1	chr9	-1
AK188430	AK188430	chr1	-1
AK188772	AK188772	chr1	-1
AK188793;Supt20	AK188793	chr3	1
AK188793;Supt20	Supt20	chr3	1
AK188812	AK188812	chr1	1
AK188991;Cdk5rap3	AK188991	chr11	-1
AK188991;Cdk5rap3	Cdk5rap3	chr11	-1
AK189005;mFLJ00251;Timm10b	AK189005	chr7	1
AK189005;mFLJ00251;Timm10b	mFLJ00251	chr7	1
AK189005;mFLJ00251;Timm10b	Timm10b	chr7	1
AK189100;Hpcal1	AK189100	chr12	1
AK189100;Hpcal1	Hpcal1	chr12	1
AK189432	AK189432	chr5	1
AK189470	AK189470	chr5	-1
AK189601	AK189601	chr14	1
AK189692;Aph1a	AK189692	chr3	1
AK189692;Aph1a	Aph1a	chr3	1
AK189830;AK217388;Rarres2	AK189830	chr6	-1
AK189830;AK217388;Rarres2	AK217388	chr6	-1
AK189830;AK217388;Rarres2	Rarres2	chr6	-1
AK190465	AK190465	chr3	-1
AK190492;Vps52	AK190492	chr17	1
AK190492;Vps52	Vps52	chr17	1
AK190497;Fastk	AK190497	chr5	-1
AK190497;Fastk	Fastk	chr5	-1
AK190779;Txn2	AK190779	chr15	-1
AK190779;Txn2	Txn2	chr15	-1
AK190918;Pycr2	AK190918	chr1	1
AK190918;Pycr2	Pycr2	chr1	1
AK191080;Stim1	AK191080	chr7	1
AK191080;Stim1	Stim1	chr7	1
AK191411	AK191411	chr7	-1
AK191498	AK191498	chr11	1
AK191694;Bop1	AK191694	chr15	-1
AK191694;Bop1	Bop1	chr15	-1
AK191723	AK191723	chr18	-1
AK191809;Ncdn	AK191809	chr4	-1
AK191809;Ncdn	Ncdn	chr4	-1
AK192194	AK192194	chr12	1
AK192501;Nkiras2	AK192501	chr11	1
AK192501;Nkiras2	Nkiras2	chr11	1
AK192544	AK192544	chr19	-1
AK192600;Pcyt2	AK192600	chr11	-1
AK192600;Pcyt2	Pcyt2	chr11	-1
AK192647	AK192647	chr7	-1
AK192827	AK192827	chr17	1
AK192985	AK192985	chr10	1
AK193034	AK193034	chr11	1
AK193180;Rbck1	AK193180	chr2	-1
AK193180;Rbck1	Rbck1	chr2	-1
AK193268;Fuz	AK193268	chr7	1
AK193268;Fuz	Fuz	chr7	1
AK193543;Gde1	AK193543	chr7	-1
AK193543;Gde1	Gde1	chr7	-1
AK193649;AK218719;Mlf2	AK193649	chr6	1
AK193649;AK218719;Mlf2	AK218719	chr6	1
AK193649;AK218719;Mlf2	Mlf2	chr6	1
AK194005	AK194005	chr16	-1
AK194371	AK194371	chr6	-1
AK194623	AK194623	chr11	-1
AK195420	AK195420	chr7	1
AK195755	AK195755	chr19	-1
AK195756;Uba7	AK195756	chr9	1
AK195756;Uba7	Uba7	chr9	1
AK195902	AK195902	chr11	1
AK195979	AK195979	chr7	-1
AK196015	AK196015	chr2	-1
AK196096;Pcsk7	AK196096	chr9	1
AK196096;Pcsk7	Pcsk7	chr9	1
AK196141	AK196141	chr11	1
AK196308;Tuba1b	AK196308	chr15	-1
AK196308;Tuba1b	Tuba1b	chr15	-1
AK196542	AK196542	chr5	1
AK196840;Snx12	AK196840	chrX	-1
AK196840;Snx12	Snx12	chrX	-1
AK196959	AK196959	chr18	-1
AK197085;BC023829	AK197085	chrX	-1
AK197085;BC023829	BC023829	chrX	-1
AK197180;L3mbtl2	AK197180	chr15	1
AK197180;L3mbtl2	L3mbtl2	chr15	1
AK197603;Cdhr4;Ip6k1	AK197603	chr9	1
AK197603;Cdhr4;Ip6k1	Cdhr4	chr9	1
AK197603;Cdhr4;Ip6k1	Ip6k1	chr9	1
AK197669;Setd4	AK197669	chr16	-1
AK197669;Setd4	Setd4	chr16	-1
AK197737	AK197737	chr4	-1
AK197965;Dgcr2	AK197965	chr16	-1
AK197965;Dgcr2	Dgcr2	chr16	-1
AK197994;Fkbp4	AK197994	chr6	-1
AK197994;Fkbp4	Fkbp4	chr6	-1
AK198004	AK198004	chr6	1
AK198029;Mapkapk2	AK198029	chr1	-1
AK198029;Mapkapk2	Mapkapk2	chr1	-1
AK198271;Rad54l	AK198271	chr4	-1
AK198271;Rad54l	Rad54l	chr4	-1
AK198376;Srebf2	AK198376	chr15	1
AK198376;Srebf2	Srebf2	chr15	1
AK198669;Ddr2	AK198669	chr1	-1
AK198669;Ddr2	Ddr2	chr1	-1
AK198984	AK198984	chr11	-1
AK198990;Prrc1	AK198990	chr18	1
AK198990;Prrc1	Prrc1	chr18	1
AK199184	AK199184	chr7	-1
AK199258	AK199258	chr7	1
AK199358;Mir7017;Wasf2	AK199358	chr4	1
AK199358;Mir7017;Wasf2	Mir7017	chr4	1
AK199358;Mir7017;Wasf2	Wasf2	chr4	1
AK199495	AK199495	chr2	1
AK199574;Klhl30	AK199574	chr1	1
AK199574;Klhl30	Klhl30	chr1	1
AK199756;Hmga1-rs1	AK199756	chr11	1
AK199756;Hmga1-rs1	Hmga1-rs1	chr11	1
Ak2	Ak2	chr4	1
AK200600	AK200600	chr13	1
AK200837	AK200837	chr10	1
AK201302	AK201302	chr5	1
AK201505;Sbk1	AK201505	chr7	1
AK201505;Sbk1	Sbk1	chr7	1
AK201601	AK201601	chr10	-1
AK201904	AK201904	chr15	1
AK202078	AK202078	chr4	1
AK202301	AK202301	chr6	1
AK202427	AK202427	chr6	1
AK202488	AK202488	chr14	1
AK202494	AK202494	chr19	1
AK202495	AK202495	chr2	1
AK202516;P4hb	AK202516	chr11	-1
AK202516;P4hb	P4hb	chr11	-1
AK202543	AK202543	chr9	-1
AK202580	AK202580	chr6	-1
AK202663	AK202663	chr11	1
AK202768;Ednrb	AK202768	chr14	-1
AK202768;Ednrb	Ednrb	chr14	-1
AK203140	AK203140	chr8	-1
AK203628	AK203628	chr13	-1
AK203628	AK203628	chr4	-1
AK203706	AK203706	chr2	1
AK203921;Tecpr1	AK203921	chr5	-1
AK203921;Tecpr1	Tecpr1	chr5	-1
AK203938	AK203938	chr17	-1
AK204212	AK204212	chr5	1
AK204365	AK204365	chr18	1
AK204461;Ppp1r16a	AK204461	chr15	1
AK204461;Ppp1r16a	Ppp1r16a	chr15	1
AK204506;Glmp	AK204506	chr3	1
AK204506;Glmp	Glmp	chr3	1
AK204572;Eef1a1	AK204572	chr9	-1
AK204572;Eef1a1	Eef1a1	chr9	-1
AK204799	AK204799	chr19	-1
AK204824	AK204824	chr7	-1
AK204918	AK204918	chr7	-1
AK205023;Ccnd3	AK205023	chr17	1
AK205023;Ccnd3	Ccnd3	chr17	1
AK205147	AK205147	chr1	1
AK205190	AK205190	chr18	-1
AK205332	AK205332	chr3	-1
AK205379	AK205379	chr13	1
AK205379	AK205379	chr14	-1
AK205379	AK205379	chr4	-1
AK205379	AK205379	chr8	-1
AK205396	AK205396	chr19	-1
AK205703	AK205703	chr14	1
AK205936	AK205936	chr7	1
AK206180;Serf2	AK206180	chr2	1
AK206180;Serf2	Serf2	chr2	1
AK206280;Fbln1	AK206280	chr15	1
AK206280;Fbln1	Fbln1	chr15	1
AK206368;Mir6926;Sgsm2	AK206368	chr11	-1
AK206368;Mir6926;Sgsm2	Mir6926	chr11	-1
AK206368;Mir6926;Sgsm2	Sgsm2	chr11	-1
AK206655	AK206655	chr10	1
AK206687	AK206687	chr15	1
AK206780	AK206780	chr12	-1
AK207408	AK207408	chr8	-1
AK207499;Cpe	AK207499	chr8	-1
AK207499;Cpe	Cpe	chr8	-1
AK207524;Mamdc4	AK207524	chr2	-1
AK207524;Mamdc4	Mamdc4	chr2	-1
AK207580;Nrbp1	AK207580	chr5	1
AK207580;Nrbp1	Nrbp1	chr5	1
AK207593	AK207593	chr15	-1
AK207688	AK207688	chr14	1
AK207733	AK207733	chr13	1
AK207784;Wbp1	AK207784	chr6	-1
AK207784;Wbp1	Wbp1	chr6	-1
AK207899	AK207899	chr13	-1
AK208069;Gsto1	AK208069	chr19	1
AK208069;Gsto1	Gsto1	chr19	1
AK208136;Fam129b	AK208136	chr2	1
AK208136;Fam129b	Fam129b	chr2	1
AK208354	AK208354	chr18	-1
AK208404	AK208404	chrX	-1
AK208460	AK208460	chr6	-1
AK208502;Pigs	AK208502	chr11	1
AK208502;Pigs	Pigs	chr11	1
AK208506;Cxxc1	AK208506	chr18	1
AK208506;Cxxc1	Cxxc1	chr18	1
AK208554	AK208554	chr16	-1
AK208648;Colgalt1	AK208648	chr8	1
AK208648;Colgalt1	Colgalt1	chr8	1
AK208673;Gm37013;Gm38666;Gm38667;Pcdha1;Pcdha10;Pcdha11;Pcdha12;Pcdha2;Pcdha3;Pcdha4;Pcdha5;Pcdha6;Pcdha7;Pcdha8;Pcdha9;Pcdhac1;Pcdhac2;Pcdhga1;Pcdhga10;Pcdhga11;Pcdhga12;Pcdhga2;Pcdhga3;Pcdhga4;Pcdhga5;Pcdhga6;Pcdhga7;Pcdhga8;Pcdhga9;Pcdhgb1;Pcdhgb2;Pcdhgb4;Pcdhgb5;Pcdhgb6;Pcdhgb7;Pcdhgb8;Pcdhgc3;Pcdhgc4;Pcdhgc5	AK208673	chr18	1
