chrom	start	end	strand	gene_name
chr6	136890237	136890238	-1	Arhgdib
chr6	136889988	136889989	-1	Arhgdib
chr17	26338294	26338295	-1	Arhgdig
chr7	25688004	25688005	1	Arhgef1
chr7	25689364	25689365	1	Arhgef1
chr7	25693329	25693330	1	Arhgef1
chr8	14911716	14911717	1	Arhgef10
chr4	140221819	140221820	-1	Arhgef10l
chr4	140204670	140204671	-1	Arhgef10l
chr4	140077323	140077324	-1	Arhgef10l
chr3	87422672	87422673	1	Arhgef11
chr3	87491735	87491736	1	Arhgef11
chr3	87501266	87501267	1	Arhgef11
chr3	87533406	87533407	1	Arhgef11
chr9	42913800	42913801	-1	Arhgef12
chr11	68770359	68770360	-1	Arhgef15
chr11	68768574	68768575	-1	Arhgef15
chr11	68765675	68765676	-1	Arhgef15
chr4	153674003	153674004	-1	Arhgef16
chr4	153675771	153675772	-1	Arhgef16
chr7	108080674	108080675	-1	Arhgef17;Mir3102
chr7	108043203	108043204	-1	Arhgef17;Mir3102
chr7	108030922	108030923	-1	Arhgef17;Mir3102
chr8	3393007	3393008	1	Arhgef18
chr8	3436981	3436982	1	Arhgef18
chr4	140798798	140798799	1	Arhgef19
chr3	88420128	88420129	1	Arhgef2
chr3	88425315	88425316	1	Arhgef2
chr3	88425027	88425028	1	Arhgef2
chr3	88433418	88433419	1	Arhgef2
chr10	126626878	126626879	-1	Arhgef25
chr10	126627109	126627110	-1	Arhgef25
chr17	80706746	80706747	1	Arhgef33
chr17	80746879	80746880	1	Arhgef33
chr18	61696189	61696190	-1	Arhgef37
chr3	132897852	132897853	-1	Arhgef38
chr14	52604507	52604508	1	Arhgef40
chr14	52608259	52608260	1	Arhgef40
chr6	43215642	43215643	1	Arhgef5
chr6	43229441	43229442	1	Arhgef5
chr6	43226802	43226803	1	Arhgef5
chrX	54591905	54591906	-1	Arhgef6
chrX	54534770	54534771	-1	Arhgef6
chrX	54579777	54579778	-1	Arhgef6
chrX	54494065	54494066	-1	Arhgef6
chr8	11758329	11758330	1	Arhgef7
chr8	11728104	11728105	1	Arhgef7
chr8	11782524	11782525	1	Arhgef7
chrX	92361824	92361825	-1	Arhgef9
chrX	92361699	92361700	-1	Arhgef9
chrX	92391843	92391844	-1	Arhgef9
chr4	133309525	133309526	-1	Arid1a
chr4	133312683	133312684	-1	Arid1a
chr17	4995073	4995074	1	Arid1b
chr17	5040579	5040580	1	Arid1b
chr15	96117952	96117953	1	Arid2
chr10	79389816	79389817	1	Arid3a
chr10	79390085	79390086	1	Arid3a
chr10	79409023	79409024	1	Arid3a
chr9	57682038	57682039	-1	Arid3b
chr9	57684512	57684513	-1	Arid3b
chr9	57684599	57684600	-1	Arid3b
chr4	41678173	41678174	-1	Arid3c
chr4	41677317	41677318	-1	Arid3c
chr12	72116953	72116954	1	Arid4a
chr12	72117694	72117695	1	Arid4a
chr12	72149349	72149350	1	Arid4a
chr13	14156058	14156059	1	Arid4b
chr13	14262298	14262299	1	Arid4b
chr13	14270249	14270250	1	Arid4b
chr1	36364577	36364578	1	Arid5a
chr10	67741473	67741474	-1	Arid5b
chr10	67706105	67706106	-1	Arid5b
chr10	67599373	67599374	-1	Arid5b
chr9	108551710	108551711	-1	Arih2
chr9	108556011	108556012	-1	Arih2
chr10	88194158	88194159	1	Arl1
chr13	54676373	54676374	1	Arl10
chr14	61928589	61928590	1	Arl11
chrX	130722039	130722040	1	Arl13a
chr16	62846865	62846866	-1	Arl13b
chr3	69026340	69026341	1	Arl14
chr13	114584715	114584716	1	Arl15
chr11	120328913	120328914	-1	Arl16
chr11	120328553	120328554	-1	Arl16
chr8	97190654	97190655	1	Arl2bp
chr8	97191005	97191006	1	Arl2bp
chr19	46647574	46647575	-1	Arl3
chr12	40764573	40764574	-1	Arl4a
chr12	40763962	40763963	-1	Arl4a
chr1	90598765	90598766	-1	Arl4c
chr1	90598450	90598451	-1	Arl4c
chr11	101526854	101526855	1	Arl4d
chr2	52280393	52280394	-1	Arl5a
chr11	97857486	97857487	-1	Arl5c
chr16	59639164	59639165	-1	Arl6
chr7	125273138	125273139	-1	Arl6ip1
chr5	124566116	124566117	1	Arl6ip4
chr6	97160785	97160786	1	Arl6ip5
chr2	53051117	53051118	1	Arl6ip6
chr2	53050465	53050466	1	Arl6ip6
chr1	137043410	137043411	1	Arl8a
chr6	108733052	108733053	1	Arl8b
chr5	77433079	77433080	1	Arl9
chr3	19063064	19063065	-1	Armc1
chr5	21151801	21151802	1	Armc10
chr10	41738187	41738188	-1	Armc2
chr10	41696549	41696550	-1	Armc2
chr2	19120744	19120745	1	Armc3
chr18	7297898	7297899	-1	Armc4
chr18	7297929	7297930	-1	Armc4
chr7	135380870	135380871	1	Armc5
chr8	72758320	72758321	-1	Armc6
chr11	115336990	115336991	1	Armc7
chr9	99469317	99469318	-1	Armc8
chr1	88051354	88051355	1	Armc9
chr1	88053484	88053485	1	Armc9
chrX	131252476	131252477	1	Armcx1
chrX	131343759	131343760	-1	Armcx2
chrX	131291106	131291107	1	Armcx3;Mir7093
chrX	131227862	131227863	1	Armcx4
chrX	131285957	131285958	-1	Armcx6
chr7	91558468	91558469	-1	Arnt2
chr7	91519411	91519412	-1	Arnt2
chr7	91521040	91521041	-1	Arnt2
chr3	95238311	95238312	1	Arnt;Gm4349
chr3	95270209	95270210	1	Arnt;Gm4349
chr3	95231270	95231271	1	Arnt;Gm4349
chr7	120350978	120350979	1	Arntl
chr7	120424163	120424164	1	Arntl
chr6	146754051	146754052	1	Arntl2
chr5	145844737	145844738	1	Arpc1a
chr5	145875124	145875125	1	Arpc1b
chr1	74283123	74283124	1	Arpc2
chr1	74283091	74283092	1	Arpc2
chr1	74283464	74283465	1	Arpc2
chr5	122841936	122841937	1	Arpc3
chr6	113328106	113328107	1	Arpc4;Ttll3
chr6	113342490	113342491	1	Arpc4;Ttll3
chr6	113339253	113339254	1	Arpc4;Ttll3
chr6	113343096	113343097	1	Arpc4;Ttll3
chr6	113347751	113347752	1	Arpc4;Ttll3
chr1	154613671	154613672	1	Arpc5
chr1	154615990	154615991	1	Arpc5
chr2	38863658	38863659	1	Arpc5l
chr9	74885420	74885421	1	Arpp19
chr9	74885538	74885539	1	Arpp19
chr9	74899920	74899921	1	Arpp19
chr9	112088452	112088453	-1	Arpp21
chr9	112135004	112135005	-1	Arpp21
chr9	112090269	112090270	-1	Arpp21
chr9	112119764	112119765	-1	Arpp21
chr9	112137344	112137345	-1	Arpp21
chr9	112119854	112119855	-1	Arpp21
chr9	112090429	112090430	-1	Arpp21
chr9	112090432	112090433	-1	Arpp21
chr9	112088272	112088273	-1	Arpp21
chr9	112136129	112136130	-1	Arpp21
chrX	97800835	97800836	1	Arr3
chr7	106683995	106683996	1	Arrb1
chr11	70246154	70246155	1	Arrb2;Mir7115
chr2	24790800	24790801	-1	Arrdc1
chr8	73363618	73363619	-1	Arrdc2;BC034910
chr8	73363416	73363417	-1	Arrdc2;BC034910
chr13	81022682	81022683	1	Arrdc3
chr7	75894123	75894124	-1	Arrdc4
chr17	56439708	56439709	-1	Arrdc5
chr15	89307854	89307855	-1	Arsa
chr13	94541633	94541634	1	Arsb
chr11	109334687	109334688	1	Arsg
chr11	109405024	109405025	1	Arsg
chr18	61071893	61071894	1	Arsi
chr3	126066769	126066770	1	Arsj
chr13	76236107	76236108	-1	Arsk
chr13	76214850	76214851	-1	Arsk
chr7	109250256	109250257	1	Art1
chr7	108729674	108729675	-1	Art2b
chr5	92760866	92760867	1	Art3
chr5	92816876	92816877	1	Art3
chr5	92817159	92817160	1	Art3
chr5	92815933	92815934	1	Art3
chr6	136806120	136806121	-1	Art4
chr7	109248742	109248743	-1	Art5
chr7	109248554	109248555	-1	Art5
chr7	109248104	109248105	-1	Art5
chr4	117602367	117602368	-1	Artn
chr4	117600974	117600975	-1	Artn
chr8	127246038	127246039	1	Arv1
chr8	127252268	127252269	1	Arv1
chr16	18348366	18348367	1	Arvcf
chr16	18380875	18380876	1	Arvcf
chr16	18392680	18392681	1	Arvcf
chr16	18404552	18404553	1	Arvcf
chrX	90531984	90531985	1	Arx
chrX	90531860	90531861	1	Arx
chr19	46781932	46781933	1	As3mt
chr8	42460050	42460051	-1	Asah1
chr8	42435390	42435391	-1	Asah1
chr19	32177629	32177630	-1	Asah2
chr19	32182657	32182658	-1	Asah2
chr12	21117616	21117617	1	Asap2
chr4	135762279	135762280	1	Asap3
chr4	135797069	135797070	1	Asap3
chr1	93437656	93437657	1	Asb1
chr1	93437141	93437142	1	Asb1
chr5	24046265	24046266	-1	Asb10
chrX	160875938	160875939	1	Asb11
chrX	160874925	160874926	1	Asb11
chrX	92673467	92673468	-1	Asb12
chr13	3633321	3633322	1	Asb13
chr14	27707789	27707790	1	Asb14
chr6	24478143	24478144	1	Asb15
chr11	102130136	102130137	1	Asb16
chr3	153507210	153507211	1	Asb17
chr1	91911151	91911152	-1	Asb18
chr12	104594210	104594211	-1	Asb2
chr12	104576510	104576511	-1	Asb2
chr12	104573793	104573794	-1	Asb2
chr11	30854397	30854398	1	Asb3
chr6	5333385	5333386	1	Asb4
chr6	5340426	5340427	1	Asb4
chr8	55635683	55635684	1	Asb5
chr2	30683819	30683820	-1	Asb6
chr7	73834446	73834447	-1	Asb7
chr7	73833805	73833806	-1	Asb7
chr15	97976132	97976133	-1	Asb8
chr15	97996008	97996009	-1	Asb8
chrX	160935834	160935835	1	Asb9
chr10	59465552	59465553	1	Ascc1
chr10	59466074	59466075	1	Ascc1
chr10	59470474	59470475	1	Ascc1
chr11	4537795	4537796	1	Ascc2
chr10	50312474	50312475	1	Ascc3
chr10	86956404	86956405	-1	Ascl1
chr7	150155168	150155169	-1	Ascl2
chr7	116875245	116875246	-1	Ascl3
chr10	53316766	53316767	1	Asf1a
chr8	86479592	86479593	1	Asf1b
chr11	69867870	69867871	1	Asgr1
chr11	69868199	69868200	1	Asgr1
chr11	69906145	69906146	1	Asgr2
chr8	26951250	26951251	-1	Ash2l
chr8	26958141	26958142	-1	Ash2l
chr5	130500200	130500201	-1	Asl
chr8	87549176	87549177	-1	Asna1
chr6	7643181	7643182	-1	Asns
chr1	53409542	53409543	-1	Asnsd1
chr1	53403604	53403605	-1	Asnsd1
chr11	73138135	73138136	-1	Aspa
chr7	51720804	51720805	1	Aspdh
chr12	113344893	113344894	1	Aspg
chr12	113359363	113359364	1	Aspg
chr7	134093094	134093095	-1	Asphd1
chr7	134092672	134092673	-1	Asphd1
chr5	112821232	112821233	-1	Asphd2
chr1	141351349	141351350	1	Aspm
chr13	49639811	49639812	1	Aspn
chr6	86578167	86578168	1	Asprv1
chr11	120537974	120537975	1	Aspscr1
chr11	120534286	120534287	1	Aspscr1
chr19	9210055	9210056	-1	Asrgl1
chr2	31325789	31325790	1	Ass1
chr2	31330218	31330219	1	Ass1
chr9	105303117	105303118	1	Aste1
chr9	105297721	105297722	1	Aste1
chr2	127164374	127164375	1	Astl
chr2	127167379	127167380	1	Astl
chr1	160292470	160292471	1	Astn1
chr4	66065516	66065517	-1	Astn2
chr2	153171874	153171875	1	Asxl1
chr18	22503589	22503590	1	Asxl3
chr6	18059060	18059061	-1	Asz1
chr19	32786787	32786788	-1	Atad1
chr11	79902901	79902902	1	Atad5
chr11	79915283	79915284	1	Atad5
chr17	36047012	36047013	-1	Atat1
chr17	36046683	36046684	-1	Atat1
chr10	80693523	80693524	-1	Atcay
chr7	137663474	137663475	-1	Ate1
chr7	137663052	137663053	-1	Ate1
chr15	100058289	100058290	1	Atf1
chr2	73730684	73730685	-1	Atf2
chr2	73718437	73718438	-1	Atf2
chr2	73668025	73668026	-1	Atf2
chr1	193007211	193007212	-1	Atf3
chr1	193041917	193041918	-1	Atf3
chr15	80085613	80085614	1	Atf4
chr7	52071027	52071028	-1	Atf5
chr7	52072027	52072028	-1	Atf5
chr17	34784124	34784125	1	Atf6b
chr6	136467371	136467372	1	Atf7ip
chr6	136481470	136481471	1	Atf7ip
chr6	136544106	136544107	1	Atf7ip
chr16	10192998	10192999	1	Atf7ip2
chr15	102455851	102455852	-1	Atf7;Npff
chr15	102455518	102455519	-1	Atf7;Npff
chr15	102355051	102355052	-1	Atf7;Npff
chr13	91363591	91363592	-1	Atg10
chr18	46901232	46901233	-1	Atg12
chr14	48188108	48188109	-1	Atg14
chr1	89652645	89652646	1	Atg16l1
chr7	108450601	108450602	-1	Atg16l2
chr19	6241667	6241668	1	Atg2a
chr19	6245458	6245459	1	Atg2a
chr12	106923450	106923451	-1	Atg2b
chr12	106885161	106885162	-1	Atg2b
chr16	45158941	45158942	1	Atg3
chr16	45165995	45165996	1	Atg3
chr1	95651609	95651610	1	Atg4b
chr9	21069742	21069743	1	Atg4d
chr10	43988163	43988164	1	Atg5
chr6	114593142	114593143	1	Atg7
chr1	75188496	75188497	-1	Atg9a
chr1	75186200	75186201	-1	Atg9a
chr5	23897960	23897961	-1	Atg9b
chr7	148127479	148127480	1	Athl1
chr7	148128183	148128184	1	Athl1
chr1	71603729	71603730	1	Atic
chr12	70994091	70994092	1	Atl1;Gm3086
chr12	71064395	71064396	1	Atl1;Gm3086
chr12	71047163	71047164	1	Atl1;Gm3086
chr12	71059392	71059393	1	Atl1;Gm3086
chr12	71060027	71060028	1	Atl1;Gm3086
chr17	80295462	80295463	-1	Atl2
chr19	7568927	7568928	1	Atl3
chr19	7568529	7568530	1	Atl3
chr9	53344775	53344776	-1	Atm
chr9	53342070	53342071	-1	Atm
chr8	119467292	119467293	1	Atmin
chr6	124706504	124706505	-1	Atn1;Grcc10
chr6	124706038	124706039	-1	Atn1;Grcc10
chr6	124691096	124691097	-1	Atn1;Grcc10
chr6	64679139	64679140	1	Atoh1
chr6	72185570	72185571	-1	Atoh8
chr11	55274639	55274640	-1	Atox1
chr7	65913571	65913572	1	Atp10a
chr11	42963378	42963379	1	Atp10b
chr8	12757015	12757016	1	Atp11a
chr3	35653059	35653060	1	Atp11b
chr3	35705689	35705690	1	Atp11b
chr3	35737674	35737675	1	Atp11b
chrX	57657155	57657156	-1	Atp11c
chrX	57520086	57520087	-1	Atp11c
chr14	56983904	56983905	1	Atp12a
chr8	72315061	72315062	1	Atp13a1
chr4	140542787	140542788	1	Atp13a2
chr16	30388615	30388616	-1	Atp13a3
chr16	29541568	29541569	-1	Atp13a4
chr16	29544949	29544950	-1	Atp13a4
chr16	29440216	29440217	-1	Atp13a4
chr16	29408410	29408411	-1	Atp13a4
chr16	29378817	29378818	-1	Atp13a5
chr3	101408579	101408580	-1	Atp1a1
chr1	174228194	174228195	-1	Atp1a2
chr7	25790913	25790914	-1	Atp1a3;Mir7047
chr1	174188554	174188555	-1	Atp1a4
chr1	166388485	166388486	-1	Atp1b1
chr11	69419461	69419462	-1	Atp1b2
chrX	35669443	35669444	1	Atp1b4
chr7	133606586	133606587	-1	Atp2a1
chr11	72774670	72774671	1	Atp2a3
chr10	98377785	98377786	1	Atp2b1
chr6	113992073	113992074	-1	Atp2b2
chr6	113841369	113841370	-1	Atp2b2
chr6	113884674	113884675	-1	Atp2b2
chrX	70748424	70748425	1	Atp2b3
chrX	70768173	70768174	1	Atp2b3
chr1	135650325	135650326	-1	Atp2b4;Mir6903
chr1	135697330	135697331	-1	Atp2b4;Mir6903
chr1	135611806	135611807	-1	Atp2b4;Mir6903
chr8	122223908	122223909	1	Atp2c2
chr7	31497250	31497251	1	Atp4a
chr7	31497372	31497373	1	Atp4a
chr8	13396777	13396778	-1	Atp4b
chr18	78012506	78012507	1	Atp5a1
chr18	78012734	78012735	1	Atp5a1
chr10	127520362	127520363	1	Atp5b
chr2	10002136	10002137	-1	Atp5c1
chr10	79605059	79605060	1	Atp5d
chr2	174289601	174289602	-1	Atp5e
chr3	105763165	105763166	-1	Atp5f1
chr3	105762475	105762476	-1	Atp5f1
chr11	95936944	95936945	-1	Atp5g1
chr11	95937007	95937008	-1	Atp5g1
chr15	102501477	102501478	-1	Atp5g2
chr2	73749350	73749351	-1	Atp5g3
chr11	115281232	115281233	-1	Atp5h
chr16	84835818	84835819	-1	Atp5j
chr16	84835245	84835246	-1	Atp5j
chr5	108863396	108863397	-1	Atp5k
chr9	44728824	44728825	-1	Atp5l
chr16	91931874	91931875	-1	Atp5o
chr12	70825948	70825949	1	Atp5s
chr7	26404511	26404512	1	Atp5sl
chr7	26404449	26404450	1	Atp5sl
chrX	71542435	71542436	1	Atp6ap1
chr13	91044959	91044960	-1	Atp6ap1l
chrX	12164884	12164885	1	Atp6ap2
chr11	100870768	100870769	1	Atp6v0a1;Mir6928
chr11	100873070	100873071	1	Atp6v0a1;Mir6928
chr11	100901134	100901135	1	Atp6v0a1;Mir6928
chr5	125079647	125079648	1	Atp6v0a2
chr5	125196075	125196076	1	Atp6v0a2
chr5	125192579	125192580	1	Atp6v0a2
chr5	125194484	125194485	1	Atp6v0a2
chr6	38074585	38074586	-1	Atp6v0a4;D630045J12Rik
chr6	38059548	38059549	-1	Atp6v0a4;D630045J12Rik
chr6	38204008	38204009	-1	Atp6v0a4;D630045J12Rik
chr6	38147088	38147089	-1	Atp6v0a4;D630045J12Rik
chr4	117559933	117559934	-1	Atp6v0b
chr17	24306373	24306374	-1	Atp6v0c
chr6	37755989	37755990	1	Atp6v0c
chr8	108089939	108089940	-1	Atp6v0d1
chr4	19849712	19849713	-1	Atp6v0d2
chr17	26813340	26813341	1	Atp6v0e
chr6	48487567	48487568	1	Atp6v0e2
chr16	44139131	44139132	-1	Atp6v1a;BC050135
chr16	44116994	44116995	-1	Atp6v1a;BC050135
chr6	83693010	83693011	1	Atp6v1b1
chr8	71612634	71612635	1	Atp6v1b2
chr8	71626349	71626350	1	Atp6v1b2
chr15	38591658	38591659	1	Atp6v1c1
chr12	17331535	17331536	-1	Atp6v1c2
chr12	17315218	17315219	-1	Atp6v1c2
chr12	79962624	79962625	-1	Atp6v1d
chr6	120772702	120772703	-1	Atp6v1e1
chr17	87347226	87347227	-1	Atp6v1e2
chr6	29417782	29417783	1	Atp6v1f
chr4	63205798	63205799	1	Atp6v1g1
chr17	35373540	35373541	1	Atp6v1g2
chr1	140170314	140170315	1	Atp6v1g3
chr1	5073253	5073254	1	Atp6v1h
chr8	23170545	23170546	-1	Atp7b
chr5	68238669	68238670	-1	Atp8a1
chr5	68167997	68167998	-1	Atp8a1
chr14	60705670	60705671	-1	Atp8a2
chr14	60816015	60816016	-1	Atp8a2
chr14	60303877	60303878	-1	Atp8a2
chr18	64820653	64820654	-1	Atp8b1
chr3	89767429	89767430	-1	Atp8b2
chr3	89757286	89757287	-1	Atp8b2
chr10	80001868	80001869	-1	Atp8b3
chr2	126317288	126317289	-1	Atp8b4
chr2	126326402	126326403	-1	Atp8b4
chr2	126200338	126200339	-1	Atp8b4
chr4	43280030	43280031	1	Atp8b5
chr2	168567299	168567300	-1	Atp9a;Mir7004
chr2	168559743	168559744	-1	Atp9a;Mir7004
chr2	168567630	168567631	-1	Atp9a;Mir7004
chr4	115457589	115457590	1	Atpaf1
chr11	60230600	60230601	-1	Atpaf2
chr4	132089849	132089850	-1	Atpif1
chr9	95758015	95758016	1	Atr
chr9	95808757	95808758	1	Atr
chr9	108976637	108976638	-1	Atrip;Trex1
chr9	108976610	108976611	-1	Atrip;Trex1
chr9	108962236	108962237	-1	Atrip;Trex1
chr9	108962421	108962422	-1	Atrip;Trex1
chr2	130732231	130732232	1	Atrn
chr19	57685523	57685524	1	Atrnl1
chr19	57727412	57727413	1	Atrnl1
chrX	103124710	103124711	-1	Atrx
chrX	103124708	103124709	-1	Atrx
chrX	103123915	103123916	-1	Atrx
chrX	103084383	103084384	-1	Atrx
chr13	46060344	46060345	-1	Atxn1
chr15	85166810	85166811	1	Atxn10
chr8	112261638	112261639	-1	Atxn1l
chr5	122161617	122161618	1	Atxn2
chr5	122233865	122233866	1	Atxn2
chr7	133646815	133646816	-1	Atxn2l
chr7	133645831	133645832	-1	Atxn2l
chr7	133645927	133645928	-1	Atxn2l
chr7	133642754	133642755	-1	Atxn2l
chr12	103196452	103196453	-1	Atxn3
chr14	14845004	14845005	1	Atxn7
chr12	33987379	33987380	1	Atxn7l1
chr12	33832550	33832551	1	Atxn7l1
chr12	34000282	34000283	1	Atxn7l1
chr12	34030169	34030170	1	Atxn7l1
chr3	108013851	108013852	-1	Atxn7l2
chr11	102157942	102157943	-1	Atxn7l3
chr11	102156372	102156373	-1	Atxn7l3
chr11	102154757	102154758	-1	Atxn7l3
chr10	112366081	112366082	-1	Atxn7l3b
chr2	129926129	129926130	1	AU015228
chrX	91213994	91213995	1	AU015836
chr7	3169203	3169204	-1	AU018091
chr9	50425568	50425569	-1	AU019823
chr2	132423931	132423932	1	AU019990
chr16	5222391	5222392	-1	AU021092
chr4	118905328	118905329	-1	AU022252
chrX	5660537	5660538	-1	AU022751
chr10	81590757	81590758	1	AU041133
chr5	121736841	121736842	1	AU042671;Gm15800
chr5	121755738	121755739	1	AU042671;Gm15800
chr5	121761631	121761632	1	AU042671;Gm15800
chr5	121798981	121798982	1	AU042671;Gm15800
chr13	53025045	53025046	-1	Auh
chr6	83004646	83004647	1	Aup1
chr6	83006971	83006972	1	Aup1
chr2	172196005	172196006	-1	Aurka
chr2	172196024	172196025	-1	Aurka
chr4	155205754	155205755	1	Aurkaip1
chr11	68859144	68859145	1	Aurkb
chr7	6948095	6948096	1	Aurkc
chr5	133018212	133018213	-1	Auts2
chr5	132014556	132014557	-1	Auts2
chr5	131951042	131951043	-1	Auts2
chrX	131712170	131712171	-1	AV320801
chrX	132029126	132029127	1	AV320801
chr2	112333120	112333121	1	Aven
chr2	112399838	112399839	1	Aven
chr2	112458573	112458574	1	Aven
chr10	126437764	126437765	1	Avil
chr6	56664898	56664899	1	Avl9
chr2	130408276	130408277	-1	Avp
chr19	42203482	42203483	-1	Avpi1
chr10	121885554	121885555	1	Avpr1a
chr1	133495690	133495691	1	Avpr1b
chrX	71137440	71137441	1	Avpr2
chrX	71137180	71137181	1	Avpr2
chr19	11125055	11125056	-1	AW112010
chr7	48755259	48755260	-1	AW146154
chr13	14722524	14722525	1	AW209491
chr13	14722511	14722512	1	AW209491
chr15	3945751	3945752	-1	AW549877
chr15	3942077	3942078	-1	AW549877
chr9	39411708	39411709	-1	AW551984
chr9	39411236	39411237	-1	AW551984
chrX	97767585	97767586	1	Awat1
chrX	97607900	97607901	-1	Awat2
chr17	26275630	26275631	1	Axin1
chr11	108781662	108781663	1	Axin2
chr11	108804934	108804935	1	Axin2
chr7	26573751	26573752	-1	Axl
chr7	26559743	26559744	-1	Axl
chr9	54798760	54798761	-1	AY074887
chr14	74738194	74738195	1	AY139115
chr14	52419720	52419721	1	AY358078
chrX	57736773	57736774	1	AY512909
chr4	55576136	55576137	1	AY512912
chr6	95283986	95283987	-1	AY512915
chr7	114386535	114386536	1	AY512917
chr8	46150771	46150772	-1	AY512931
chr3	41094511	41094512	-1	AY512943
chr8	22814118	22814119	-1	AY761184
chr8	22084426	22084427	-1	AY761185
chr5	113786313	113786314	1	Aym1
chr5	138422748	138422749	1	Azgp1
chr9	117949616	117949617	1	Azi2
chr15	38449020	38449021	-1	Azin1;Mir6951
chr4	101516626	101516627	-1	B020004J07Rik
chr11	95584899	95584900	1	B130006D01Rik
chr2	101469142	101469143	-1	B230118H07Rik;Rag1
chr2	101489688	101489689	-1	B230118H07Rik;Rag1
chr2	101461202	101461203	-1	B230118H07Rik;Rag1
chr7	148551008	148551009	-1	B230206H07Rik
chr11	97702093	97702094	1	B230217C12Rik
chr11	97702625	97702626	1	B230217C12Rik
chr11	97702628	97702629	1	B230217C12Rik
chr13	55794484	55794485	1	B230219D22Rik
chr6	83391748	83391749	1	B230319C09Rik
chr17	45570779	45570780	1	B230354K17Rik
chr2	121973422	121973423	1	B2m;BC002288
chr2	121973452	121973453	1	B2m;BC002288
chr4	141102076	141102077	1	B330016D10Rik
chr3	69402782	69402783	-1	B3galnt1
chr2	67955769	67955770	1	B3galt1
chr1	145487826	145487827	1	B3galt2
chr17	34088432	34088433	-1	B3galt4
chr16	96457407	96457408	1	B3galt5
chr16	96502638	96502639	1	B3galt5
chr4	155366786	155366787	-1	B3galt6
chr9	26559089	26559090	1	B3gat1
chr9	26541399	26541400	1	B3gat1
chr9	26562900	26562901	1	B3gat1
chr1	23768764	23768765	1	B3gat2
chr11	22760335	22760336	-1	B3gnt2;Commd1
chr11	22759734	22759735	-1	B3gnt2;Commd1
chr11	22856691	22856692	-1	B3gnt2;Commd1
chr11	22882283	22882284	-1	B3gnt2;Commd1
chr11	22878995	22878996	-1	B3gnt2;Commd1
chr8	74225698	74225699	-1	B3gnt3
chr8	74227432	74227433	-1	B3gnt3
chr5	123960468	123960469	1	B3gnt4
chr16	19760326	19760327	1	B3gnt5
chr7	105347984	105347985	-1	B3gnt6
chr1	88199795	88199796	1	B3gnt7
chr7	26412642	26412643	1	B3gnt8
chr11	121534464	121534465	-1	B3gntl1
chr11	121492650	121492651	-1	B3gntl1
chr8	42102821	42102822	1	B430010I23Rik
chr18	67503756	67503757	-1	B430212C06Rik
chr18	67487863	67487864	-1	B430212C06Rik
chr18	67487624	67487625	-1	B430212C06Rik
chr17	48455486	48455487	1	B430306N03Rik
chr9	92437706	92437707	-1	B430319G15Rik
chr10	126602280	126602281	1	B4galnt1
chr10	126602886	126602887	1	B4galnt1
chr11	95776184	95776185	-1	B4galnt2
chr6	120244576	120244577	-1	B4galnt3
chr7	148247172	148247173	1	B4galnt4
chr7	148250358	148250359	1	B4galnt4
chr7	148249735	148249736	1	B4galnt4
chr7	148256173	148256174	1	B4galnt4
chr4	40801030	40801031	-1	B4galt1
chr4	117556073	117556074	-1	B4galt2;Ccdc24
chr4	117545074	117545075	-1	B4galt2;Ccdc24
chr4	117543899	117543900	-1	B4galt2;Ccdc24
chr1	173200458	173200459	1	B4galt3
chr16	38742376	38742377	1	B4galt4
chr16	38742386	38742387	1	B4galt4
chr16	38760847	38760848	1	B4galt4
chr2	167174677	167174678	-1	B4galt5
chr18	20904904	20904905	-1	B4galt6
chr13	55701471	55701472	1	B4galt7
chr19	5040306	5040307	1	B4gat1;BC115668;Brms1
chr6	13627965	13627966	-1	B630005N14Rik
chrX	8469478	8469479	1	B630019K06Rik
chr16	17833211	17833212	1	B830017H08Rik
chr4	155068580	155068581	1	B930041F14Rik
chr12	111829583	111829584	1	B930059L03Rik
chr11	61318673	61318674	1	B9d1
chr7	26466176	26466177	1	B9d2
chr7	26465798	26465799	1	B9d2
chr15	38765455	38765456	1	Baalc
chr4	49519429	49519430	-1	Baat
chr9	45646611	45646612	1	Bace1
chr9	45660805	45660806	1	Bace1
chr16	97578334	97578335	1	Bace2
chr16	87699198	87699199	1	Bach1
chr4	32504409	32504410	1	Bach2
chr4	32325924	32325925	1	Bach2
chr4	32588477	32588478	1	Bach2
chr19	7016344	7016345	1	Bad
chr19	7017086	7017087	1	Bad
chr4	40895326	40895327	-1	Bag1
chr1	33814594	33814595	-1	Bag2
chr7	135667096	135667097	1	Bag3
chr8	26895680	26895681	-1	Bag4
chr12	112951466	112951467	-1	Bag5
chr12	112951127	112951128	-1	Bag5
chr2	118727350	118727351	1	Bahd1
chr2	118741623	118741624	1	Bahd1
chr11	119804405	119804406	1	Baiap2
chr5	145118980	145118981	-1	Baiap2l1
chr15	79115938	79115939	-1	Baiap2l2
chr17	25393308	25393309	-1	Baiap3;Mir3547
chr17	27165570	27165571	-1	Bak1
chr18	3507954	3507955	1	Bambi
chr2	122293532	122293533	-1	Bambi-ps1
chr19	5366346	5366347	-1	Banf1
chr19	5366644	5366645	-1	Banf1
chr2	143858837	143858838	1	Banf2
chr3	135989009	135989010	-1	Bank1
chr3	135910733	135910734	-1	Bank1
chr8	124474432	124474433	1	Banp
chr8	124530990	124530991	1	Banp
