gene_name	geneSymbol	chrom
AK164362;Rbpj	AK164362	chr5
AK164362;Rbpj	Rbpj	chr5
AK164583;Dhx29	AK164583	chr13
AK164583;Dhx29	Dhx29	chr13
AK164741;AK171902;Deptor	AK164741	chr15
AK164741;AK171902;Deptor	AK171902	chr15
AK164741;AK171902;Deptor	Deptor	chr15
AK164779;Tmem111	AK164779	chr6
AK164779;Tmem111	Tmem111	chr6
AK164850;ChaK;Trpm7	AK164850	chr2
AK164850;ChaK;Trpm7	ChaK	chr2
AK164850;ChaK;Trpm7	Trpm7	chr2
AK164875	AK164875	chr17
AK165120;Birc6	AK165120	chr17
AK165120;Birc6	Birc6	chr17
AK165297	AK165297	chr10
AK165329	AK165329	chr11
AK165338	AK165338	chr16
AK165366	AK165366	chr16
AK165489	AK165489	chr19
AK165532;Mobkl3	AK165532	chr1
AK165532;Mobkl3	Mobkl3	chr1
AK165607	AK165607	chr2
AK165697	AK165697	chr13
AK165776	AK165776	chr10
AK165804;AK169506	AK165804	chr10
AK165804;AK169506	AK169506	chr10
AK166041	AK166041	chr8
AK166079	AK166079	chr2
AK166708	AK166708	chr4
AK166773	AK166773	chr2
AK166824	AK166824	chr8
AK166895	AK166895	chr15
AK167137;Zc3hav1	AK167137	chr6
AK167137;Zc3hav1	Zc3hav1	chr6
AK167556	AK167556	chr19
AK167957	AK167957	chr9
AK168184	AK168184	chr8
AK168746	AK168746	chr9
AK169220	AK169220	chr6
AK169507	AK169507	chr5
AK169509	AK169509	chr17
AK169777;Plcg1	AK169777	chr2
AK169777;Plcg1	Plcg1	chr2
AK169831	AK169831	chr9
AK169958;St3gal1	AK169958	chr15
AK169958;St3gal1	St3gal1	chr15
AK170106;Lpl	AK170106	chr8
AK170106;Lpl	Lpl	chr8
AK170112	AK170112	chr8
AK170301;Cytip	AK170301	chr2
AK170301;Cytip	Cytip	chr2
AK170353	AK170353	chr7
AK170409	AK170409	chrX
AK170464;Tnfrsf1b	AK170464	chr4
AK170464;Tnfrsf1b	Tnfrsf1b	chr4
AK170612;Anxa1	AK170612	chr19
AK170612;Anxa1	Anxa1	chr19
AK170837;Armcx5;Gprasp1	AK170837	chrX
AK170837;Armcx5;Gprasp1	Armcx5	chrX
AK170837;Armcx5;Gprasp1	Gprasp1	chrX
AK170868	AK170868	chr11
AK170928;Zfp295	AK170928	chr16
AK170928;Zfp295	Zfp295	chr16
AK171116;Laptm5	AK171116	chr4
AK171116;Laptm5	Laptm5	chr4
AK171117;Chchd8	AK171117	chr7
AK171117;Chchd8	Chchd8	chr7
AK171153	AK171153	chr17
AK171159	AK171159	chr19
AK171687;Bcl10	AK171687	chr3
AK171687;Bcl10	Bcl10	chr3
AK171764	AK171764	chr9
AK171953	AK171953	chr1
AK171960	AK171960	chr11
AK172190;Rnf38	AK172190	chr4
AK172190;Rnf38	Rnf38	chr4
AK172386	AK172386	chr13
AK172428;Ubxn1	AK172428	chr19
AK172428;Ubxn1	Ubxn1	chr19
AK172459	AK172459	chr18
AK172630	AK172630	chr7
AK172672	AK172672	chr13
AK172704;Fam133b	AK172704	chr5
AK172704;Fam133b	Fam133b	chr5
AK177174	AK177174	chr11
AK177718;Hcn3	AK177718	chr3
AK177718;Hcn3	Hcn3	chr3
AK177731	AK177731	chr2
AK177749;Tmem106c	AK177749	chr15
AK177749;Tmem106c	Tmem106c	chr15
AK177772;Herc3	AK177772	chr6
AK177772;Herc3	Herc3	chr6
AK178082;Tmem181c-ps	AK178082	chr17
AK178082;Tmem181c-ps	Tmem181c-ps	chr17
AK178359	AK178359	chr15
AK178429	AK178429	chr17
AK179786	AK179786	chr12
AK180240;Dync1li1	AK180240	chr9
AK180240;Dync1li1	Dync1li1	chr9
AK180697;Eno1;Gm5506	AK180697	chr18
AK180697;Eno1;Gm5506	Eno1	chr18
AK180697;Eno1;Gm5506	Gm5506	chr18
AK180697;Eno1;Gm5506	AK180697	chr4
AK180697;Eno1;Gm5506	Eno1	chr4
AK180697;Eno1;Gm5506	Gm5506	chr4
AK180712	AK180712	chr16
AK180939	AK180939	chr9
AK181029;Med16	AK181029	chr10
AK181029;Med16	Med16	chr10
AK181631;AK218564	AK181631	chr1
AK181631;AK218564	AK218564	chr1
AK181830	AK181830	chr19
AK181896;Zdhhc4	AK181896	chr5
AK181896;Zdhhc4	Zdhhc4	chr5
AK182281;Tsc2	AK182281	chr17
AK182281;Tsc2	Tsc2	chr17
AK182549;Nramp2;Slc11a2	AK182549	chr15
AK182549;Nramp2;Slc11a2	Nramp2	chr15
AK182549;Nramp2;Slc11a2	Slc11a2	chr15
AK182695	AK182695	chr15
AK182874	AK182874	chr11
AK182887	AK182887	chr15
AK183279;Uba52;Ubb;Ubc	AK183279	chr5
AK183279;Uba52;Ubb;Ubc	Uba52	chr5
AK183279;Uba52;Ubb;Ubc	Ubb	chr5
AK183279;Uba52;Ubb;Ubc	Ubc	chr5
AK183279;Uba52;Ubb;Ubc	AK183279	chr8
AK183279;Uba52;Ubb;Ubc	Uba52	chr8
AK183279;Uba52;Ubb;Ubc	Ubb	chr8
AK183279;Uba52;Ubb;Ubc	Ubc	chr8
AK183458	AK183458	chr16
AK183986	AK183986	chrX
AK184121	AK184121	chr9
AK184603	AK184603	chr7
AK184713	AK184713	chr2
AK185530	AK185530	chrX
AK185681	AK185681	chr6
AK185715;Zfp513	AK185715	chr5
AK185715;Zfp513	Zfp513	chr5
AK185771;Coro1b	AK185771	chr19
AK185771;Coro1b	Coro1b	chr19
AK185785;Ilf3	AK185785	chr9
AK185785;Ilf3	Ilf3	chr9
AK186650	AK186650	chr4
AK186650	AK186650	chr5
AK186650	AK186650	chr6
AK186650	AK186650	chr8
AK186650	AK186650	chrX
AK187054	AK187054	chr5
AK188353;Eif4h	AK188353	chr5
AK188353;Eif4h	Eif4h	chr5
AK188430	AK188430	chr1
AK188772	AK188772	chr1
AK188812	AK188812	chr1
AK188991;Cdk5rap3	AK188991	chr11
AK188991;Cdk5rap3	Cdk5rap3	chr11
AK189432	AK189432	chr5
AK189470	AK189470	chr5
AK189601	AK189601	chr14
AK189633;AK189748;AK198904;Mtch1	AK189633	chr17
AK189633;AK189748;AK198904;Mtch1	AK189748	chr17
AK189633;AK189748;AK198904;Mtch1	AK198904	chr17
AK189633;AK189748;AK198904;Mtch1	Mtch1	chr17
AK190465	AK190465	chr3
AK190497;Fastk	AK190497	chr5
AK190497;Fastk	Fastk	chr5
AK191080;Stim1	AK191080	chr7
AK191080;Stim1	Stim1	chr7
AK191411	AK191411	chr7
AK191498	AK191498	chr11
AK191723	AK191723	chr18
AK192194	AK192194	chr12
AK192544	AK192544	chr19
AK192647	AK192647	chr7
AK192827	AK192827	chr17
AK192985	AK192985	chr10
AK193394	AK193394	chr8
AK194005	AK194005	chr16
AK194371	AK194371	chr6
AK195420	AK195420	chr7
AK195428	AK195428	chr17
AK195683;Mbp	AK195683	chr18
AK195683;Mbp	Mbp	chr18
AK195755	AK195755	chr19
AK195788	AK195788	chr1
AK195788	AK195788	chr15
AK195902	AK195902	chr11
AK195979	AK195979	chr7
AK196015	AK196015	chr2
AK196141	AK196141	chr11
AK196542	AK196542	chr5
AK196959	AK196959	chr18
AK197085;BC023829	AK197085	chrX
AK197085;BC023829	BC023829	chrX
AK197526	AK197526	chr6
AK197782	AK197782	chr11
AK198271;Rad54l	AK198271	chr4
AK198271;Rad54l	Rad54l	chr4
AK198984	AK198984	chr11
AK199184	AK199184	chr13
AK199184	AK199184	chr7
AK199258	AK199258	chr7
AK199358;Wasf2	AK199358	chr4
AK199358;Wasf2	Wasf2	chr4
AK199495	AK199495	chr2
AK199694	AK199694	chr7
AK199756	AK199756	chr11
Ak2	Ak2	chr4
AK200207	AK200207	chr14
AK200600	AK200600	chr13
AK200837	AK200837	chr10
AK201601	AK201601	chr10
AK202078	AK202078	chr4
AK202301	AK202301	chr6
AK202488	AK202488	chr14
AK202494	AK202494	chr19
AK202543	AK202543	chr9
AK202580	AK202580	chr6
AK202663	AK202663	chr11
AK203140	AK203140	chr8
AK203176	AK203176	chr2
AK203628	AK203628	chr13
AK203628	AK203628	chr4
AK203706	AK203706	chr2
AK203938	AK203938	chr17
AK204212	AK204212	chr5
AK204365	AK204365	chr18
AK204442;Fut11	AK204442	chr14
AK204442;Fut11	Fut11	chr14
AK204443	AK204443	chr2
AK204799	AK204799	chr19
AK204824	AK204824	chr7
AK204918	AK204918	chr7
AK205147	AK205147	chr1
AK205190	AK205190	chr18
AK205332	AK205332	chr3
AK205379	AK205379	chr13
AK205379	AK205379	chr14
AK205379	AK205379	chr4
AK205379	AK205379	chr8
AK205396	AK205396	chr19
AK205936	AK205936	chr7
AK205981;Tyrp1	AK205981	chr4
AK205981;Tyrp1	Tyrp1	chr4
AK206103;Pisd-ps2	AK206103	chr17
AK206103;Pisd-ps2	Pisd-ps2	chr17
AK206655	AK206655	chr10
AK206687	AK206687	chr15
AK206780	AK206780	chr12
AK206940;Akt2	AK206940	chr11
AK206940;Akt2	Akt2	chr11
AK206940;Akt2	AK206940	chr7
AK206940;Akt2	Akt2	chr7
AK207024;BC049966;Sytl3	AK207024	chr17
AK207024;BC049966;Sytl3	BC049966	chr17
AK207024;BC049966;Sytl3	Sytl3	chr17
AK207408	AK207408	chr8
AK207593	AK207593	chr15
AK207688	AK207688	chr14
AK207899	AK207899	chr13
AK208354	AK208354	chr18
AK208404	AK208404	chrX
AK208460	AK208460	chr6
AK208554	AK208554	chr16
AK209302;Naa40	AK209302	chr19
AK209302;Naa40	Naa40	chr19
AK209396	AK209396	chr8
AK209492;Bat3	AK209492	chr17
AK209492;Bat3	Bat3	chr17
AK209590	AK209590	chr8
AK209647	AK209647	chrX
AK209715	AK209715	chr4
AK209885	AK209885	chr8
AK210533	AK210533	chr18
AK210533	AK210533	chr5
AK211079;BC017647	AK211079	chr11
AK211079;BC017647	BC017647	chr11
AK211096;Heatr7a	AK211096	chr15
AK211096;Heatr7a	Heatr7a	chr15
AK211336	AK211336	chr7
AK211473	AK211473	chr3
AK211593;Timm50	AK211593	chr7
AK211593;Timm50	Timm50	chr7
AK211659	AK211659	chr6
AK212603	AK212603	chr6
AK212710	AK212710	chr5
AK212965	AK212965	chr1
AK213166	AK213166	chr19
AK213200	AK213200	chr16
AK213404	AK213404	chr15
AK213543;Clstn3	AK213543	chr6
AK213543;Clstn3	Clstn3	chr6
AK213609	AK213609	chr5
AK213636	AK213636	chr6
AK213652	AK213652	chr7
AK213749	AK213749	chr4
AK213775	AK213775	chr7
AK214072	AK214072	chr5
AK214332	AK214332	chr7
AK214371	AK214371	chr9
AK214451	AK214451	chr16
AK214512	AK214512	chr7
AK214641	AK214641	chr6
AK214683;Smad3	AK214683	chr9
AK214683;Smad3	Smad3	chr9
AK215081	AK215081	chr14
AK215237	AK215237	chr6
AK215297;Zmynd11	AK215297	chr13
AK215297;Zmynd11	Zmynd11	chr13
AK215506	AK215506	chr7
AK215526	AK215526	chr7
AK215842	AK215842	chr19
AK216043	AK216043	chr18
AK216440	AK216440	chr14
AK216443	AK216443	chr3
AK216459	AK216459	chr7
AK216578	AK216578	chr9
AK216819	AK216819	chr7
AK216824	AK216824	chr19
AK216824	AK216824	chr2
AK216920	AK216920	chr13
AK217047	AK217047	chr11
AK217604	AK217604	chr11
AK217757	AK217757	chr15
AK217854	AK217854	chr1
AK217856;Rnf213	AK217856	chr11
AK217856;Rnf213	Rnf213	chr11
AK217863	AK217863	chr11
AK217931;Nckipsd	AK217931	chr9
AK217931;Nckipsd	Nckipsd	chr9
AK217941	AK217941	chr8
AK217986	AK217986	chr11
AK217986	AK217986	chr3
AK218226	AK218226	chr19
AK218261	AK218261	chr13
AK218396	AK218396	chr4
AK218399	AK218399	chr7
AK219036	AK219036	chr15
AK219219	AK219219	chr1
AK219219	AK219219	chr14
AK219219	AK219219	chr6
AK219629	AK219629	chr8
AK219638	AK219638	chr4
AK219843	AK219843	chr14
AK220016	AK220016	chr5
AK220028	AK220028	chrX
AK220484;Greb1l	AK220484	chr18
AK220484;Greb1l	Greb1l	chr18
Ak3	Ak3	chr19
Ak4	Ak4	chr4
Ak5	Ak5	chr3
Ak7	Ak7	chr12
Ak8	Ak8	chr2
Akap1	Akap1	chr11
Akap10	Akap10	chr11
Akap11	Akap11	chr14
Akap12	Akap12	chr10
Akap13	Akap13	chr7
Akap14	Akap14	chrX
Akap17b	Akap17b	chrX
Akap2;Palm2	Akap2	chr4
Akap2;Palm2	Palm2	chr4
Akap3	Akap3	chr6
Akap4	Akap4	chrX
Akap5	Akap5	chr12
Akap6	Akap6	chr12
Akap8;AKAP95	Akap8	chr17
Akap8;AKAP95	AKAP95	chr17
Akap8l;NAKAP95	Akap8l	chr17
Akap8l;NAKAP95	NAKAP95	chr17
Akap9	Akap9	chr5
Akd2;Rnf165	Akd2	chr18
Akd2;Rnf165	Rnf165	chr18
Akirin1	Akirin1	chr4
Akirin2	Akirin2	chr4
Akna	Akna	chr4
Aknad1	Aknad1	chr3
Akp3	Akp3	chr1
Akr1a4	Akr1a4	chr4
Akr1b3	Akr1b3	chr6
Akr1b7	Akr1b7	chr6
Akr1b8	Akr1b8	chr6
Akr1c12	Akr1c12	chr13
Akr1c13	Akr1c13	chr13
Akr1c14	Akr1c14	chr13
Akr1c18	Akr1c18	chr13
Akr1c19	Akr1c19	chr13
Akr1c20	Akr1c20	chr13
Akr1c21	Akr1c21	chr13
Akr1c6	Akr1c6	chr13
Akr1d1	Akr1d1	chr6
Akr1e1	Akr1e1	chr13
Akr7a5	Akr7a5	chr4
Akt1	Akt1	chr12
Akt1s1	Akt1s1	chr7
Akt3	Akt3	chr1
Aktip	Aktip	chr8
Alad	Alad	chr4
Alas1	Alas1	chr9
Alas2	Alas2	chrX
Alb	Alb	chr5
Alcam	Alcam	chr16
Aldh16a1;mFLJ00209	Aldh16a1	chr7
Aldh16a1;mFLJ00209	mFLJ00209	chr7
Aldh18a1	Aldh18a1	chr19
Aldh1a1	Aldh1a1	chr19
Aldh1a2	Aldh1a2	chr9
Aldh1a3	Aldh1a3	chr7
Aldh1a7	Aldh1a7	chr19
Aldh1b1	Aldh1b1	chr4
Aldh1l1	Aldh1l1	chr6
Aldh1l2	Aldh1l2	chr10
Aldh2	Aldh2	chr5
Aldh3a1	Aldh3a1	chr11
Aldh3a2	Aldh3a2	chr11
Aldh3b1	Aldh3b1	chr19
Aldh3b2	Aldh3b2	chr19
Aldh4a1	Aldh4a1	chr4
Aldh5a1	Aldh5a1	chr13
Aldh6a1	Aldh6a1	chr12
Aldh7a1	Aldh7a1	chr18
Aldh8a1	Aldh8a1	chr10
Aldh9a1	Aldh9a1	chr1
Aldoa	Aldoa	chr12
Aldoa	Aldoa	chr7
Aldoart1	Aldoart1	chr4
Aldob	Aldob	chr4
Aldoc	Aldoc	chr11
Alg1	Alg1	chr16
Alg10b	Alg10b	chr15
Alg11	Alg11	chr8
Alg12	Alg12	chr15
Alg13	Alg13	chrX
Alg14	Alg14	chr3
Alg2	Alg2	chr4
Alg3	Alg3	chr16
Alg5	Alg5	chr3
Alg6	Alg6	chr4
Alg8	Alg8	chr7
Alg9	Alg9	chr9
Alk	Alk	chr17
Alkbh1;Nrp	Alkbh1	chr12
Alkbh1;Nrp	Nrp	chr12
Alkbh2	Alkbh2	chr5
Alkbh3	Alkbh3	chr2
Alkbh4	Alkbh4	chr5
Alkbh5	Alkbh5	chr11
Alkbh6	Alkbh6	chr7
Alkbh7	Alkbh7	chr17
Alkbh8	Alkbh8	chr9
All-1;mKIAA4050;Mll1	All-1	chr9
All-1;mKIAA4050;Mll1	mKIAA4050	chr9
All-1;mKIAA4050;Mll1	Mll1	chr9
Allc	Allc	chr12
Allergin-1;Gm885;Mca32	Allergin-1	chr11
Allergin-1;Gm885;Mca32	Gm885	chr11
Allergin-1;Gm885;Mca32	Mca32	chr11
Alms1	Alms1	chr6
Alox12	Alox12	chr11
Alox12b	Alox12b	chr11
Alox12e	Alox12e	chr11
Alox15	Alox15	chr11
Alox5	Alox5	chr6
Alox5ap	Alox5ap	chr5
Alox8	Alox8	chr11
Aloxe3	Aloxe3	chr11
alpha1B;Cacna1b	alpha1B	chr2
alpha1B;Cacna1b	Cacna1b	chr2
Alpi	Alpi	chr1
Alpk1;mKIAA1527	Alpk1	chr3
Alpk1;mKIAA1527	mKIAA1527	chr3
Alpk2	Alpk2	chr18
Alpk3	Alpk3	chr7
Alpl	Alpl	chr4
Alppl2	Alppl2	chr1
Als2cl	Als2cl	chr9
Als2cr11	Als2cr11	chr1
Als2cr12	Als2cr12	chr1
Als2cr4	Als2cr4	chr1
Als2;mDLG6A;Mpp4	Als2	chr1
Als2;mDLG6A;Mpp4	mDLG6A	chr1
Als2;mDLG6A;Mpp4	Mpp4	chr1
Alx1	Alx1	chr10
Alx3	Alx3	chr3
Alx4	Alx4	chr2
AM295304	AM295304	chr11
Amac1	Amac1	chr11
Amacr	Amacr	chr15
Ambn	Ambn	chr5
Ambp	Ambp	chr4
Ambra1	Ambra1	chr2
Amd2	Amd2	chr10
Amdhd1	Amdhd1	chr10
Amdhd2	Amdhd2	chr17
Amelx	Amelx	chrX
Amfr	Amfr	chr8
Amh	Amh	chr10
Amhr2	Amhr2	chr15
Amica1	Amica1	chr9
Amigo1	Amigo1	chr3
Amigo2	Amigo2	chr15
Amigo3	Amigo3	chr9
Ammecr1	Ammecr1	chrX
Ammecr1l	Ammecr1l	chr18
Amn	Amn	chr12
Amn1	Amn1	chr6
Amot	Amot	chrX
Amotl1	Amotl1	chr9
Amotl2	Amotl2	chr9
Ampd1	Ampd1	chr3
Ampd2	Ampd2	chr3
Ampd3	Ampd3	chr7
Amph	Amph	chr13
Amt	Amt	chr9
Amtn	Amtn	chr5
Amy1;mKIAA1839;Rnpc3	Amy1	chr3
Amy1;mKIAA1839;Rnpc3	mKIAA1839	chr3
Amy1;mKIAA1839;Rnpc3	Rnpc3	chr3
Amy2a5	Amy2a5	chr3
Amy2b	Amy2b	chr3
Amz1	Amz1	chr5
Anapc1	Anapc1	chr2
Anapc10	Anapc10	chr8
Anapc11	Anapc11	chr11
Anapc13	Anapc13	chr9
Anapc16	Anapc16	chr10
Anapc2	Anapc2	chr2
Anapc4	Anapc4	chr5
Anapc5	Anapc5	chr5
Anapc7	Anapc7	chr5
Ang2	Ang2	chr14
Ang3;Ang5	Ang3	chr14
Ang3;Ang5	Ang5	chr14
Ang4	Ang4	chr14
Ang6	Ang6	chr14
Angel1	Angel1	chr12
Angel2	Angel2	chr1
Angpt1;mKIAA0003	Angpt1	chr15
Angpt1;mKIAA0003	mKIAA0003	chr15
Angpt2	Angpt2	chr8
Angpt4	Angpt4	chr2
Angptl1	Angptl1	chr1
Angptl2	Angptl2	chr2
Angptl3	Angptl3	chr4
Angptl4	Angptl4	chr17
Angptl6	Angptl6	chr9
Angptl7	Angptl7	chr4
Ank	Ank	chr15
Ank1	Ank1	chr8
Ank3	Ank3	chr10
Ankar	Ankar	chr1
Ankdd1b	Ankdd1b	chr13
Ankfn1	Ankfn1	chr11
Ankfy1;Ankhzn	Ankfy1	chr11
Ankfy1;Ankhzn	Ankhzn	chr11
Ankhd1;Eif4ebp3	Ankhd1	chr18
Ankhd1;Eif4ebp3	Eif4ebp3	chr18
Ankib1;mKIAA1386	Ankib1	chr5
Ankib1;mKIAA1386	mKIAA1386	chr5
Ankk1	Ankk1	chr9
Ankle1	Ankle1	chr8
Ankle2	Ankle2	chr5
Ankmy1	Ankmy1	chr1
Ankmy2	Ankmy2	chr12
Ankra2	Ankra2	chr13
Ankrd1	Ankrd1	chr19
Ankrd10	Ankrd10	chr8
Ankrd11	Ankrd11	chr8
Ankrd12	Ankrd12	chr17
Ankrd13a	Ankrd13a	chr5
Ankrd13b	Ankrd13b	chr11
Ankrd13c	Ankrd13c	chr3
Ankrd13d	Ankrd13d	chr19
Ankrd16	Ankrd16	chr2
Ankrd17	Ankrd17	chr5
Ankrd2	Ankrd2	chr19
Ankrd22	Ankrd22	chr19
Ankrd23;Ankrd39	Ankrd23	chr1
Ankrd23;Ankrd39	Ankrd39	chr1
Ankrd24	Ankrd24	chr10
Ankrd26	Ankrd26	chr6
Ankrd27	Ankrd27	chr7
Ankrd28	Ankrd28	chr14
Ankrd29	Ankrd29	chr18
Ankrd32	Ankrd32	chr13
Ankrd33	Ankrd33	chr15
Ankrd33b	Ankrd33b	chr15
Ankrd34a	Ankrd34a	chr3
Ankrd34b	Ankrd34b	chr13
Ankrd34c	Ankrd34c	chr9
Ankrd35	Ankrd35	chr3
Ankrd36	Ankrd36	chr11
Ankrd37	Ankrd37	chr8
Ankrd40	Ankrd40	chr11
Ankrd42	Ankrd42	chr7
Ankrd43	Ankrd43	chr11
Ankrd44	Ankrd44	chr1
Ankrd45	Ankrd45	chr1
Ankrd46	Ankrd46	chr15
Ankrd49	Ankrd49	chr9
Ankrd50	Ankrd50	chr3
Ankrd52	Ankrd52	chr10
Ankrd53	Ankrd53	chr6
Ankrd54	Ankrd54	chr15
Ankrd55	Ankrd55	chr13
Ankrd56	Ankrd56	chr5
Ankrd57	Ankrd57	chr10
Ankrd58	Ankrd58	chrX
Ankrd5;BC034902	Ankrd5	chr2
Ankrd5;BC034902	BC034902	chr2
Ankrd60	Ankrd60	chr2
Ankrd61	Ankrd61	chr5
Ankrd6;mKIAA0957	Ankrd6	chr4
Ankrd6;mKIAA0957	mKIAA0957	chr4
Ankrd7	Ankrd7	chr6
Ankrd9	Ankrd9	chr12
Anks1	Anks1	chr17
Anks1b	Anks1b	chr10
Anks3	Anks3	chr16
Anks4b	Anks4b	chr7
Anks6	Anks6	chr4
Ankzf1	Ankzf1	chr1
Anln	Anln	chr9
AnMKRN1	AnMKRN1	chr6
Ano1	Ano1	chr7
Ano10	Ano10	chr9
Ano2	Ano2	chr6
Ano3	Ano3	chr2
Ano4	Ano4	chr10
Ano5	Ano5	chr7
Ano6	Ano6	chr15
Ano7	Ano7	chr1
Ano8	Ano8	chr8
Ano9	Ano9	chr7
Anp32a	Anp32a	chr9
Anp32b	Anp32b	chr4
Anp32e	Anp32e	chr3
Anpep	Anpep	chr7
Antxr1;Tem8	Antxr1	chr6
Antxr1;Tem8	Tem8	chr6
Antxr2	Antxr2	chr5
Antxrl	Antxrl	chr14
Anubl1	Anubl1	chr6
Anxa10	Anxa10	chr8
Anxa11	Anxa11	chr14
Anxa13	Anxa13	chr15
Anxa2	Anxa2	chr9
Anxa3	Anxa3	chr5
Anxa4	Anxa4	chr6
Anxa5	Anxa5	chr3
Anxa6	Anxa6	chr11
Anxa7	Anxa7	chr14
Anxa8	Anxa8	chr14
Anxa9	Anxa9	chr3
Aoah	Aoah	chr13
Aoc2	Aoc2	chr11
Aoc3	Aoc3	chr11
Aox1	Aox1	chr1
Aox3	Aox3	chr1
Aox3l1	Aox3l1	chr1
Aox4	Aox4	chr1
Ap1ar	Ap1ar	chr3
Ap1b1	Ap1b1	chr11
Ap1g1	Ap1g1	chr8
Ap1g2	Ap1g2	chr14
Ap1m1	Ap1m1	chr8
Ap1m2;Mu1b	Ap1m2	chr9
Ap1m2;Mu1b	Mu1b	chr9
Ap1s1	Ap1s1	chr5
Ap1s2	Ap1s2	chrX
Ap1s3	Ap1s3	chr1
Ap2a1	Ap2a1	chr7
Ap2a2;mKIAA0899	Ap2a2	chr7
Ap2a2;mKIAA0899	mKIAA0899	chr7
Ap2b1	Ap2b1	chr11
Ap2m1	Ap2m1	chr16
Ap2s1	Ap2s1	chr7
Ap3b1	Ap3b1	chr13
Ap3b2	Ap3b2	chr7
Ap3d1	Ap3d1	chr10
Ap3m1	Ap3m1	chr14
Ap3m2	Ap3m2	chr8
Ap3s1	Ap3s1	chr18
Ap3s2	Ap3s2	chr7
Ap4b1	Ap4b1	chr3
Ap4e1	Ap4e1	chr2
Ap4m1	Ap4m1	chr5
Ap4s1	Ap4s1	chr12
Apa1;Zfp410	Apa1	chr12
Apa1;Zfp410	Zfp410	chr12
Apaf1	Apaf1	chr10
Apba1	Apba1	chr19
Apba2	Apba2	chr7
Apba3;Mir3057	Apba3	chr10
Apba3;Mir3057	Mir3057	chr10
Apbb1	Apbb1	chr7
Apbb1ip	Apbb1ip	chr2
Apbb2	Apbb2	chr5
Apbb3	Apbb3	chr18
Apbh	Apbh	chr7
Apc	Apc	chr18
Apc2	Apc2	chr10
Apcdd1	Apcdd1	chr18
Apcs	Apcs	chr1
Apeg3	Apeg3	chr7
Apeh	Apeh	chr9
Apex1	Apex1	chr14
Apex2	Apex2	chrX
APG16L;Atg16l1	APG16L	chr1
APG16L;Atg16l1	Atg16l1	chr1
apg-1b;Hspa4l	apg-1b	chr3
apg-1b;Hspa4l	Hspa4l	chr3
Aph1a	Aph1a	chr3
Aph1b;Aph1c	Aph1b	chr9
Aph1b;Aph1c	Aph1c	chr9
Apip	Apip	chr2
Apitd1	Apitd1	chr4
Aplf	Aplf	chr6
Apln	Apln	chrX
Aplnr	Aplnr	chr2
Aplp1	Aplp1	chr7
Aplp2	Aplp2	chr9
Apoa1	Apoa1	chr9
Apoa1bp	Apoa1bp	chr3
Apoa2	Apoa2	chr1
Apoa4	Apoa4	chr9
Apoa5	Apoa5	chr9
Apob	Apob	chr12
Apob48r	Apob48r	chr7
Apobec1	Apobec1	chr6
Apobec2	Apobec2	chr17
Apobec3	Apobec3	chr15
Apobec4	Apobec4	chr1
Apoc1	Apoc1	chr7
Apoc2;Apoc4	Apoc2	chr7
Apoc2;Apoc4	Apoc4	chr7
Apoc3	Apoc3	chr9
Apod	Apod	chr16
Apoe	Apoe	chr7
Apof	Apof	chr10
Apoh	Apoh	chr11
Apol10a	Apol10a	chr15
Apol10b	Apol10b	chr15
Apol11a	Apol11a	chr15
Apol11b	Apol11b	chr15
Apol6	Apol6	chr15
Apol7a	Apol7a	chr15
Apol7b	Apol7b	chr15
Apol7c	Apol7c	chr15
Apol7e	Apol7e	chr15
Apol8	Apol8	chr15
Apol9a	Apol9a	chr15
Apol9b	Apol9b	chr15
Apold1	Apold1	chr6
Apom	Apom	chr17
Apon	Apon	chr10
Apoo	Apoo	chrX
App	App	chr16
Appbp2	Appbp2	chr11
Appl1	Appl1	chr14
Appl2	Appl2	chr10
aprt;Aprt	aprt	chr8
aprt;Aprt	Aprt	chr8
Aptx	Aptx	chr4
Aqp1	Aqp1	chr6
Aqp11	Aqp11	chr7
Aqp12	Aqp12	chr1
Aqp2	Aqp2	chr15
Aqp3	Aqp3	chr4
Aqp4	Aqp4	chr18
Aqp5	Aqp5	chr15
Aqp6	Aqp6	chr15
Aqp7	Aqp7	chr4
Aqp8	Aqp8	chr7
Aqp9	Aqp9	chr9
Aqr;mKIAA0560	Aqr	chr2
Aqr;mKIAA0560	mKIAA0560	chr2
Ar	Ar	chrX
Araf	Araf	chrX
Arap1	Arap1	chr7
Arap2	Arap2	chr5
Arap3	Arap3	chr18
Arc	Arc	chr15
Arcn1	Arcn1	chr9
Areg	Areg	chr5
Arf1	Arf1	chr11
Arf2	Arf2	chr11
Arf3	Arf3	chr15
Arf4	Arf4	chr14
Arf5	Arf5	chr6
Arf6	Arf6	chr12
Arfgap1	Arfgap1	chr2
Arfgap2	Arfgap2	chr2
Arfgap3	Arfgap3	chr15
Arfgef2	Arfgef2	chr2
Arfgef3;D10Bwg1379e	Arfgef3	chr10
Arfgef3;D10Bwg1379e	D10Bwg1379e	chr10
Arfip1;Glt28d2	Arfip1	chr3
Arfip1;Glt28d2	Glt28d2	chr3
Arfip2	Arfip2	chr7
Arfrp1	Arfrp1	chr2
Arg1	Arg1	chr10
Arg2	Arg2	chr12
Arglu1	Arglu1	chr8
Arhgap1	Arhgap1	chr2
Arhgap10	Arhgap10	chr8
Arhgap11a	Arhgap11a	chr2
